Frequency (Hz)	Level (dB)
4.000000	-48.063374
8.000000	-78.949059
12.000000	-80.159851
16.000000	-80.751183
20.000000	-87.209885
24.000000	-83.107773
28.000000	-83.706566
32.000000	-84.813667
36.000000	-79.369698
40.000000	-74.694878
44.000000	-69.436874
48.000000	-63.335922
52.000000	-66.168045
56.000000	-70.458450
60.000000	-72.251945
64.000000	-71.438309
68.000000	-71.421227
72.000000	-71.880150
76.000000	-72.714226
80.000000	-69.610191
84.000000	-70.177353
88.000000	-68.918159
92.000000	-60.070522
96.000000	-48.754566
100.000000	-49.380432
104.000000	-60.828220
108.000000	-70.664749
112.000000	-69.665474
116.000000	-70.862640
120.000000	-72.760757
124.000000	-75.702713
128.000000	-74.424049
132.000000	-72.764664
136.000000	-72.117645
140.000000	-65.712196
144.000000	-59.588875
148.000000	-59.603077
152.000000	-63.652485
156.000000	-70.463882
160.000000	-77.309578
164.000000	-79.122261
168.000000	-77.852898
172.000000	-77.991341
176.000000	-78.846786
180.000000	-81.357506
184.000000	-79.074089
188.000000	-80.313492
192.000000	-71.970955
196.000000	-71.477180
200.000000	-72.029083
204.000000	-75.837540
208.000000	-78.237808
212.000000	-77.295860
216.000000	-77.303696
220.000000	-77.503304
224.000000	-78.059731
228.000000	-80.156113
232.000000	-82.008125
236.000000	-78.644905
240.000000	-70.203896
244.000000	-64.145889
248.000000	-65.248924
252.000000	-69.801765
256.000000	-74.488976
260.000000	-74.464081
264.000000	-73.020569
268.000000	-72.211060
272.000000	-71.446754
276.000000	-70.350037
280.000000	-69.746193
284.000000	-69.079819
288.000000	-62.963711
292.000000	-53.781067
296.000000	-53.446789
300.000000	-60.874580
304.000000	-70.178673
308.000000	-70.436630
312.000000	-71.874420
316.000000	-73.348755
320.000000	-76.209984
324.000000	-77.286613
328.000000	-76.837418
332.000000	-76.729836
336.000000	-74.676689
340.000000	-66.188446
344.000000	-63.664215
348.000000	-68.985291
352.000000	-78.379158
356.000000	-79.865395
360.000000	-82.039909
364.000000	-81.872368
368.000000	-82.582321
372.000000	-84.873436
376.000000	-83.849686
380.000000	-82.081520
384.000000	-75.544472
388.000000	-69.086052
392.000000	-66.574295
396.000000	-68.864609
400.000000	-74.326813
404.000000	-79.165001
408.000000	-88.357689
412.000000	-81.125702
416.000000	-78.339401
420.000000	-76.669937
424.000000	-77.681747
428.000000	-80.987091
432.000000	-80.105995
436.000000	-73.562325
440.000000	-68.714851
444.000000	-70.773819
448.000000	-74.127525
452.000000	-79.333855
456.000000	-78.944084
460.000000	-79.582664
464.000000	-82.309326
468.000000	-85.088387
472.000000	-79.920853
476.000000	-77.621109
480.000000	-80.504944
484.000000	-75.637238
488.000000	-68.504807
492.000000	-68.733147
496.000000	-76.729340
500.000000	-77.147217
504.000000	-78.401993
508.000000	-81.520905
512.000000	-84.954262
516.000000	-87.958641
520.000000	-81.989212
524.000000	-80.567223
528.000000	-77.432823
532.000000	-77.269257
536.000000	-69.473122
540.000000	-69.233276
544.000000	-74.555374
548.000000	-78.544647
552.000000	-79.668877
556.000000	-82.614288
560.000000	-79.530670
564.000000	-82.075012
568.000000	-83.791214
572.000000	-77.192642
576.000000	-74.631187
580.000000	-72.574989
584.000000	-62.454090
588.000000	-59.941967
592.000000	-62.141644
596.000000	-70.046471
600.000000	-77.305382
604.000000	-80.018013
608.000000	-78.912132
612.000000	-79.374275
616.000000	-84.230309
620.000000	-85.043259
624.000000	-80.649834
628.000000	-77.020515
632.000000	-72.909195
636.000000	-71.906601
640.000000	-72.331841
644.000000	-73.465996
648.000000	-77.921974
652.000000	-85.154755
656.000000	-86.630592
660.000000	-85.323990
664.000000	-85.174301
668.000000	-82.761070
672.000000	-83.140244
676.000000	-80.407722
680.000000	-73.449974
684.000000	-66.319237
688.000000	-66.790001
692.000000	-73.472466
696.000000	-77.604362
700.000000	-81.143311
704.000000	-86.896637
708.000000	-82.373123
712.000000	-82.282745
716.000000	-86.341629
720.000000	-83.971809
724.000000	-81.363884
728.000000	-74.418335
732.000000	-73.114647
736.000000	-73.946136
740.000000	-75.324333
744.000000	-79.404350
748.000000	-84.727669
752.000000	-82.168564
756.000000	-80.559235
760.000000	-80.291420
764.000000	-80.697968
768.000000	-81.759720
772.000000	-77.740509
776.000000	-77.836479
780.000000	-72.239380
784.000000	-68.384491
788.000000	-71.206657
792.000000	-74.378265
796.000000	-77.698105
800.000000	-82.085503
804.000000	-79.804764
808.000000	-79.702583
812.000000	-83.117699
816.000000	-84.937965
820.000000	-82.898460
824.000000	-78.676865
828.000000	-71.233284
832.000000	-68.132973
836.000000	-71.048424
840.000000	-77.297974
844.000000	-78.882179
848.000000	-81.748039
852.000000	-80.086830
856.000000	-83.269356
860.000000	-85.121605
864.000000	-81.461884
868.000000	-79.154152
872.000000	-80.192268
876.000000	-76.578377
880.000000	-75.778961
884.000000	-77.486229
888.000000	-78.869514
892.000000	-80.964760
896.000000	-79.899269
900.000000	-81.606606
904.000000	-84.960098
908.000000	-81.874229
912.000000	-79.431313
916.000000	-80.023094
920.000000	-82.251091
924.000000	-82.433891
928.000000	-75.624023
932.000000	-73.685333
936.000000	-75.460693
940.000000	-76.030014
944.000000	-78.490356
948.000000	-82.849510
952.000000	-85.206482
