00,01,02,03,04,05,00,06,00,00,07,08,06,00,00,00
00,09,02,03,0A,0B,0A,06,00,00,0C,0D,06,0A,0E,0E
00,0F,02,03,00,0B,00,06,10,11,11,12,06,13,01,00
00,14,02,03,0A,0B,0A,06,15,11,16,11,06,0A,0E,0E
00,03,02,03,00,17,00,18,17,0F,00,00,02,03,02,03
00,03,02,03,13,12,11,11,14,09,10,16,02,03,02,03
00,19,0F,19,10,1A,1B,1C,07,1D,1E,1F,02,03,09,0F
00,11,0B,13,14,00,10,16,0C,20,21,22,02,03,10,14
00,16,14,00,00,00,23,1A,00,07,24,25,02,03,15,01
00,00,00,00,00,00,00,00,00,0C,26,27,02,03,17,09
00,00,00,00,00,00,00,00,00,00,00,00,02,03,02,03
00,00,00,00,00,10,01,00,28,28,28,28,02,03,02,03
00,00,07,25,02,03,09,00,06,00,00,00,29,2A,2B,2B
00,1C,0C,27,02,03,0A,0E,06,0A,0E,0E,0E,2A,2B,2B
00,07,1D,1F,02,03,13,2C,18,00,06,00,00,2A,2B,2B
00,0C,20,22,02,03,0A,0E,0E,0E,06,0A,0E,2A,2B,2B
00,00,00,00,29,19,00,00,00,0F,18,00,00,2A,2B,2B
00,00,00,00,28,28,00,00,00,23,1A,1B,1C,2A,2B,2B
00,06,00,00,06,00,10,11,1A,1B,1C,1C,1C,2A,2B,2B
00,06,00,00,06,00,09,00,10,16,1A,1B,1C,2A,2B,2B
00,03,02,03,02,03,16,01,09,00,00,00,02,03,02,03
00,03,02,03,02,03,01,0B,0A,0E,0E,0E,02,03,02,03
00,0F,15,01,02,03,23,2D,00,00,10,16,02,03,09,0F
00,14,17,09,02,03,10,14,13,11,12,11,02,03,10,14
00,0F,09,0F,02,03,0B,00,07,24,1D,1F,02,03,09,0F
00,14,10,14,02,03,0B,00,0C,26,20,22,02,03,10,14
00,0F,02,03,02,03,17,00,00,00,07,25,02,03,15,01
00,14,02,03,02,03,2E,1A,1B,1C,0C,27,02,03,17,09
00,01,02,03,0F,19,0B,00,07,1D,1E,1F,02,03,09,0F
00,09,02,03,0B,13,11,11,0C,20,21,22,02,03,10,14
00,0F,02,03,14,13,14,00,00,00,17,00,02,03,09,0F
00,14,02,03,0A,0E,0E,0E,0E,0E,23,11,02,03,10,14
